FeedbackID,CustomerID,CampaignID,FeedbackDate,Rating,Comments
1,1,1,2022-06-16,4,"Great campaign!"
2,2,2,2022-11-23,5,"Loved the discounts."
3,3,3,2022-12-30,3,"It was okay."
4,4,4,2022-03-21,5,"Fantastic offers!"
5,5,5,2022-10-29,4,"Very good deals."
6,6,6,2022-10-26,5,"Amazing promotions."
7,7,7,2023-03-08,3,"Could be better."
8,8,8,2023-01-25,4,"Good service."
9,9,9,2022-09-12,3,"Average experience."
10,10,10,2022-12-20,5,"Excellent products!"
11,11,11,2022-07-12,4,"Impressed with the quality."
12,12,12,2022-06-10,2,"Disappointing offers."
13,13,13,2022-10-03,5,"Best deals ever!"
14,14,14,2022-05-03,3,"Could improve customer service."
15,15,15,2022-12-03,4,"Satisfied with the purchase."
16,16,16,2023-04-05,5,"Highly recommended!"
17,17,17,2023-04-13,3,"Needs more variety."
18,18,18,2023-08-20,4,"Great experience overall."
